Gene	Type
RPS6A	Prey
NOG1	Prey
SSE1	Prey
HOS3	Prey
KAP120	Prey
HHO1	Prey
TBF1	Prey
TAF14	Prey
RPL5	Prey
COX11	Prey
UME1	Prey
RPL33A	Prey
KES1	Prey
PEP4	Prey
TCO89	Prey
RPL7B	Prey
SRP72	Prey
NIP7	Prey
BMS1	Prey
RPL1A	Prey
RVB2	Prey
SUI3	Prey
HSP82	Prey
SRP68	Prey
GYP5	Prey
RPL36B	Prey
HFI1	Prey
FUM1	Prey
DIM1	Prey
HAA1	Prey
RPA135	Prey
EAF3	Prey
NTO1	Prey
HTS1	Prey
ARP7	Prey
RPL43A	Prey
NHP6A	Prey
SUA7	Prey
SRP54	Prey
RPL11A	Prey
RPC40	Prey
MRD1	Prey
RPS23B	Prey
YPR137C-A	Prey
TAZ1	Prey
RRP15	Prey
YPR158W-B	Prey
ORC4	Prey
RPO26	Prey
RPC82	Prey
N_T34A	Bait
N_T34E	Bait
N_T34G	Bait
C_T34L	Bait
N_T34L	Bait
C_T34Q	Bait
C_F58A	Bait
N_R78K	Bait
N_D79A	Bait
N_D79S	Bait
C_G80A	Bait
N_G80A	Bait
C_K101R	Bait
C_N105L	Bait
C_R108A	Bait
N_R108G	Bait
C_R108I	Bait
N_R108L	Bait
N_R108Y	Bait
C_R112S	Bait
N_R112S	Bait
C_K132H	Bait
N_K132H	Bait
N_H141E	Bait
C_H141I	Bait
N_H141I	Bait
N_H141R	Bait
C_H141V	Bait
N_H141V	Bait
C_K143W	Bait
N_K143W	Bait
N_Q147E	Bait
C_Y148I	Bait
N_Y148I	Bait
C_Y157A	Bait
C_A180T	Bait
N_A180T	Bait
YRB2	Core
YRB1	Core
KAP95	Core
NUP1	Core
NUP60	Core
KAP104	Core
SRM1	Core
LOS1	Core
NTF2	Core
CSE1	Core
CRM1	Core
RNA1	Core
MSN5	Core
PSE1	Core
SRP1	Core
MOG1	Core
